t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,2.24,9.22,252.01,12.65,176.67
-170,0.85,0.35,0.84,2.24,9.23,252.78,12.76,177.49
-160,0.85,0.58,0.84,2.24,9.22,253.48,12.85,178.58
-150,0.85,0.82,0.84,2.24,9.2,254.0,12.98,179.11
-140,0.85,1.04,0.83,2.24,9.14,254.2,13.09,178.87
-130,0.85,1.25,0.83,2.24,9.1,253.79,13.13,178.56
-120,0.85,1.45,0.84,2.24,9.05,253.4,13.16,178.74
-110,0.85,1.64,0.84,2.24,9.02,253.28,13.24,178.58
-100,0.85,1.8,0.84,2.23,8.99,253.4,13.33,178.2
-90,0.85,1.96,0.84,2.23,8.95,253.28,13.37,177.77
-80,0.85,2.1,0.84,2.22,8.96,253.57,13.44,178.0
-70,0.85,2.22,0.83,2.22,8.99,253.92,13.56,178.45
-60,0.85,2.33,0.83,2.21,8.98,254.16,13.72,178.56
-50,0.85,2.42,0.83,2.2,8.98,254.09,13.87,178.77
-40,0.85,2.49,0.83,2.2,9.01,253.88,14.05,178.94
-30,0.85,2.55,0.83,2.18,9.02,254.07,14.23,178.56
-20,0.85,2.59,0.83,2.18,9.05,254.52,14.41,178.0
-10,0.85,2.61,0.83,2.17,9.08,254.97,14.65,176.89
0,0.85,2.62,0.83,2.16,9.2,256.0,14.84,175.81
10,0.85,2.61,0.83,2.16,9.3,257.34,15.0,173.86
20,0.85,2.59,0.83,2.14,9.37,258.95,15.2,172.0
30,0.85,2.55,0.83,2.15,9.44,260.29,15.37,170.51
40,0.85,2.5,0.83,2.14,9.48,261.5,15.56,168.94
50,0.85,2.42,0.82,2.14,9.5,262.65,15.73,167.15
60,0.85,2.36,0.82,2.14,9.47,263.47,15.86,164.8
70,0.85,2.27,0.82,2.15,9.46,263.82,15.96,162.72
80,0.85,2.16,0.82,2.15,9.48,264.16,16.04,160.26
90,0.85,2.03,0.81,2.14,9.52,264.11,16.15,158.55
100,0.85,1.91,0.81,2.15,9.59,263.74,16.19,156.6
110,0.85,1.76,0.8,2.15,9.67,263.45,16.3,154.81
120,0.85,1.61,0.8,2.14,9.73,262.88,16.32,153.75
130,0.85,1.44,0.8,2.14,9.78,262.16,16.34,152.71
140,0.85,1.26,0.8,2.14,9.78,261.75,16.3,151.46
150,0.85,1.08,0.8,2.15,9.76,261.09,16.2,149.13
160,0.85,0.89,0.79,2.15,9.74,260.7,16.09,146.51
170,0.85,0.69,0.79,2.15,9.74,260.15,15.94,144.56
180,0.85,0.47,0.79,2.16,9.76,259.99,15.82,143.06
