t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,4.72,11.27,264.72,12.36,207.77
-170,0.85,0.35,0.84,4.73,11.28,264.15,12.37,209.21
-160,0.85,0.58,0.84,4.74,11.3,264.07,12.38,210.3
-150,0.85,0.82,0.84,4.74,11.28,264.35,12.38,211.71
-140,0.85,1.04,0.83,4.75,11.26,264.79,12.41,212.48
-130,0.85,1.25,0.83,4.76,11.29,265.46,12.44,213.43
-120,0.85,1.45,0.84,4.77,11.27,266.24,12.43,213.19
-110,0.85,1.64,0.84,4.78,11.2,267.1,12.42,212.54
-100,0.85,1.8,0.84,4.78,11.16,267.72,12.4,210.97
-90,0.85,1.96,0.84,4.79,11.15,267.5,12.38,209.16
-80,0.85,2.1,0.84,4.81,11.11,267.53,12.36,208.16
-70,0.85,2.22,0.83,4.82,11.04,268.06,12.31,207.18
-60,0.85,2.33,0.83,4.82,10.96,269.18,12.27,206.42
-50,0.85,2.42,0.83,4.82,10.87,269.71,12.26,204.79
-40,0.85,2.49,0.83,4.84,10.79,270.37,12.29,203.35
-30,0.85,2.55,0.83,4.84,10.67,271.5,12.32,202.35
-20,0.85,2.59,0.83,4.85,10.57,272.38,12.32,201.0
-10,0.85,2.61,0.83,4.86,10.44,272.75,12.35,198.74
0,0.85,2.62,0.83,4.86,10.32,272.68,12.38,197.35
10,0.85,2.61,0.83,4.86,10.2,272.97,12.4,196.48
20,0.85,2.59,0.83,4.86,10.12,273.36,12.39,195.62
30,0.85,2.55,0.83,4.87,10.02,273.16,12.42,194.62
40,0.85,2.5,0.83,4.87,9.94,272.71,12.46,193.83
50,0.85,2.42,0.82,4.88,9.91,272.49,12.5,193.11
60,0.85,2.36,0.82,4.88,9.91,272.28,12.55,192.47
70,0.85,2.27,0.82,4.89,9.92,271.82,12.55,192.42
80,0.85,2.16,0.82,4.89,9.94,271.42,12.56,193.06
90,0.85,2.03,0.81,4.9,9.98,271.36,12.6,193.51
100,0.85,1.91,0.81,4.9,10.03,271.78,12.61,194.58
110,0.85,1.76,0.8,4.9,10.1,271.7,12.62,196.37
120,0.85,1.61,0.8,4.9,10.24,271.47,12.63,198.03
130,0.85,1.44,0.8,4.9,10.4,271.32,12.65,198.95
140,0.85,1.26,0.8,4.9,10.54,270.97,12.62,199.68
150,0.85,1.08,0.8,4.9,10.68,270.76,12.58,200.22
160,0.85,0.89,0.79,4.9,10.84,270.31,12.53,200.86
170,0.85,0.69,0.79,4.91,10.94,270.0,12.48,201.11
180,0.85,0.47,0.79,4.91,11.0,269.72,12.42,201.07
