t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.9,0.0,0.14,2.24,9.22,282.01,12.65,206.67
-170,1.9,0.22,0.13,2.24,9.23,282.78,12.76,207.49
-160,1.9,0.43,0.14,2.24,9.22,283.48,12.85,208.58
-150,1.9,0.64,0.14,2.24,9.2,284.0,12.98,209.11
-140,1.9,0.83,0.14,2.24,9.14,284.2,13.09,208.87
-130,1.9,1.02,0.13,2.24,9.1,283.79,13.13,208.56
-120,1.9,1.19,0.14,2.24,9.05,283.4,13.16,208.74
-110,1.9,1.36,0.13,2.24,9.02,283.28,13.24,208.58
-100,1.9,1.5,0.14,2.23,8.99,283.4,13.33,208.2
-90,1.9,1.65,0.14,2.23,8.95,283.28,13.37,207.77
-80,1.9,1.77,0.13,2.22,8.96,283.57,13.44,208.0
-70,1.9,1.87,0.14,2.22,8.99,283.92,13.56,208.45
-60,1.9,1.97,0.14,2.21,8.98,284.16,13.72,208.56
-50,1.9,2.05,0.13,2.2,8.98,284.09,13.87,208.77
-40,1.9,2.11,0.13,2.2,9.01,283.88,14.05,208.94
-30,1.9,2.16,0.13,2.18,9.02,284.07,14.23,208.56
-20,1.9,2.2,0.13,2.18,9.05,284.52,14.41,208.0
-10,1.9,2.22,0.13,2.17,9.08,284.97,14.65,206.89
0,1.9,2.23,0.13,2.16,9.2,286.0,14.84,205.81
10,1.9,2.22,0.13,2.16,9.3,287.34,15.0,203.86
20,1.9,2.2,0.14,2.14,9.37,288.95,15.2,202.0
30,1.9,2.18,0.13,2.15,9.44,290.29,15.37,200.51
40,1.9,2.13,0.13,2.14,9.48,291.5,15.56,198.94
50,1.9,2.07,0.13,2.14,9.5,292.65,15.73,197.15
60,1.9,2.01,0.13,2.14,9.47,293.47,15.86,194.8
70,1.9,1.93,0.13,2.15,9.46,293.82,15.96,192.72
80,1.9,1.84,0.13,2.15,9.48,294.16,16.04,190.26
90,1.9,1.73,0.13,2.14,9.52,294.11,16.15,188.55
100,1.9,1.62,0.13,2.15,9.59,293.74,16.19,186.6
110,1.9,1.5,0.13,2.15,9.67,293.45,16.3,184.81
120,1.9,1.36,0.12,2.14,9.73,292.88,16.32,183.75
130,1.9,1.21,0.12,2.14,9.78,292.16,16.34,182.71
140,1.9,1.06,0.12,2.14,9.78,291.75,16.3,181.46
150,1.9,0.9,0.12,2.15,9.76,291.09,16.2,179.13
160,1.9,0.73,0.12,2.15,9.74,290.7,16.09,176.51
170,1.9,0.56,0.12,2.15,9.74,290.15,15.94,174.56
180,1.9,0.37,0.12,2.16,9.76,289.99,15.82,173.06
