t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.721,0.45,0.62,3.34,10.6,251.33,15.54,336.65
-170,0.721,0.64,0.62,3.35,10.58,251.0,17.67,331.08
-160,0.721,0.81,0.63,3.37,10.56,250.67,19.8,325.51
-150,0.721,0.99,0.64,3.39,10.54,250.33,21.92,319.93
-140,0.721,1.15,0.65,3.4,10.53,250.0,24.05,314.36
-130,0.721,1.31,0.67,3.42,10.47,249.0,24.66,313.52
-120,0.721,1.46,0.69,3.43,10.42,248.0,25.26,312.67
-110,0.721,1.59,0.71,3.45,10.37,247.0,25.87,311.83
-100,0.721,1.72,0.71,3.46,10.31,246.0,26.48,310.98
-90,0.721,1.84,0.71,3.48,10.26,245.0,27.08,310.14
-80,0.721,1.95,0.69,3.49,10.2,244.0,27.69,309.29
-70,0.721,2.05,0.67,3.5,9.99,234.67,27.03,308.28
-60,0.721,2.13,0.65,3.51,9.78,225.33,26.38,307.26
-50,0.721,2.2,0.64,3.53,9.57,216.0,25.72,306.24
-40,0.721,2.26,0.63,3.54,9.35,206.67,25.06,305.22
-30,0.721,2.3,0.62,3.55,9.14,197.33,24.4,304.2
-20,0.721,2.33,0.61,3.56,8.93,188.0,23.75,303.18
-10,0.721,2.35,0.6,3.57,9.01,189.67,23.42,301.67
0,0.721,2.35,0.6,3.58,9.1,191.33,23.09,300.16
10,0.721,2.34,0.59,3.6,9.18,193.0,22.76,298.65
20,0.721,2.31,0.57,3.61,9.27,194.67,22.42,297.14
30,0.721,2.26,0.55,3.62,9.35,196.33,22.09,295.63
40,0.721,2.2,0.52,3.64,9.43,198.0,21.76,294.12
50,0.721,2.13,0.47,3.66,9.48,196.83,21.61,293.82
60,0.721,2.04,0.43,3.68,9.53,195.67,21.47,293.52
70,0.721,1.94,0.38,3.7,9.57,194.5,21.32,293.22
80,0.721,1.82,0.36,3.72,9.62,193.33,21.17,292.93
90,0.721,1.69,0.34,3.75,9.66,192.17,21.02,292.63
100,0.721,1.54,0.33,3.77,9.71,191.0,20.87,292.33
110,0.721,1.38,0.31,3.8,9.74,192.17,20.4,292.51
120,0.721,1.22,0.29,3.82,9.77,193.33,19.92,292.69
130,0.721,1.04,0.29,3.85,9.8,194.5,19.45,292.87
140,0.721,0.85,0.3,3.88,9.84,195.67,18.98,293.06
150,0.721,0.65,0.3,3.91,9.87,196.83,18.51,293.24
160,0.721,0.45,0.3,3.94,9.9,198.0,18.03,293.42
170,0.721,0.24,0.31,3.95,9.92,198.0,17.85,293.14
180,0.721,0.03,0.31,3.97,9.93,198.0,17.68,292.86
