t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,4.5,13.98,256.92,10.09,102.9
-170,0.85,0.35,0.84,4.5,13.91,257.15,10.03,105.27
-160,0.85,0.58,0.84,4.49,13.86,257.7,9.98,108.29
-150,0.85,0.82,0.84,4.48,13.87,257.99,9.92,111.28
-140,0.85,1.04,0.83,4.48,13.87,257.87,9.86,113.41
-130,0.85,1.25,0.83,4.46,13.81,257.36,9.83,115.73
-120,0.85,1.45,0.84,4.46,13.74,257.12,9.83,118.1
-110,0.85,1.64,0.84,4.45,13.66,256.84,9.86,120.16
-100,0.85,1.8,0.84,4.45,13.54,256.25,9.86,122.41
-90,0.85,1.96,0.84,4.45,13.44,255.34,9.84,124.58
-80,0.85,2.1,0.84,4.45,13.34,254.97,9.8,126.08
-70,0.85,2.22,0.83,4.45,13.28,254.84,9.8,127.17
-60,0.85,2.33,0.83,4.45,13.26,254.36,9.86,127.38
-50,0.85,2.42,0.83,4.46,13.18,253.66,9.94,127.97
-40,0.85,2.49,0.83,4.46,13.08,252.88,9.96,128.06
-30,0.85,2.55,0.83,4.48,12.94,252.68,9.98,127.75
-20,0.85,2.59,0.83,4.49,12.79,252.15,9.98,129.15
-10,0.85,2.61,0.83,4.49,12.65,251.43,10.01,131.11
0,0.85,2.62,0.83,4.51,12.49,251.1,9.95,133.38
10,0.85,2.61,0.83,4.52,12.37,250.94,9.85,134.85
20,0.85,2.59,0.83,4.52,12.29,251.13,9.77,136.48
30,0.85,2.55,0.83,4.54,12.2,251.02,9.77,137.24
40,0.85,2.5,0.83,4.55,12.13,251.13,9.78,137.55
50,0.85,2.42,0.82,4.55,12.04,251.24,9.73,137.78
60,0.85,2.36,0.82,4.56,11.93,251.3,9.62,137.89
70,0.85,2.27,0.82,4.57,11.88,251.11,9.6,137.78
80,0.85,2.16,0.82,4.58,11.77,250.45,9.6,137.78
90,0.85,2.03,0.81,4.6,11.7,249.66,9.61,138.15
100,0.85,1.91,0.81,4.61,11.66,249.05,9.59,138.21
110,0.85,1.76,0.8,4.61,11.65,248.34,9.54,137.99
120,0.85,1.61,0.8,4.62,11.66,247.72,9.59,137.99
130,0.85,1.44,0.8,4.63,11.64,247.37,9.65,137.48
140,0.85,1.26,0.8,4.63,11.64,247.43,9.73,136.81
150,0.85,1.08,0.8,4.66,11.58,247.63,9.83,136.2
160,0.85,0.89,0.79,4.66,11.54,247.72,9.91,135.76
170,0.85,0.69,0.79,4.67,11.45,248.06,9.96,134.84
180,0.85,0.47,0.79,4.68,11.36,248.43,9.98,133.56
